timestamp,PV_obs,GHI,DNI,DHI,SA,SZ,CO,Temp
2020-09-01 00:00:00,0.0,0,0,0,-6,118,46.9,9.2
2020-09-01 01:00:00,0.0,0,0,0,-22,116,49.5,9.1
2020-09-01 02:00:00,0.0,0,0,0,-38,111,64.8,9.2
2020-09-01 03:00:00,0.0,0,0,0,-52,105,64.4,9.0
2020-09-01 04:00:00,0.0,0,0,0,-65,97,69.2,8.7
2020-09-01 05:00:00,0.0,10,0,10,-77,89,47.9,8.9
2020-09-01 06:00:00,0.0,122,387,48,-89,80,6.4,10.1
2020-09-01 07:00:00,0.0,279,636,71,-101,71,0.0,12.0
2020-09-01 08:00:00,0.0,428,742,86,-115,63,0.0,13.6
2020-09-01 09:00:00,0.8,554,785,103,-130,55,0.0,14.9
2020-09-01 10:00:00,1.4,646,809,115,-147,49,0.3,16.0
2020-09-01 11:00:00,1.6,572,375,312,-167,45,18.0,16.8
2020-09-01 12:00:00,1.7,438,43,407,173,45,37.5,17.1
2020-09-01 13:00:00,1.7,322,0,322,152,48,51.1,17.2
2020-09-01 14:00:00,1.1,446,246,300,134,53,22.4,17.2
2020-09-01 15:00:00,0.7,419,502,172,119,60,8.4,17.0
2020-09-01 16:00:00,0.7,281,420,136,105,69,9.0,16.5
2020-09-01 17:00:00,0.4,158,421,64,93,78,1.6,15.6
2020-09-01 18:00:00,0.1,29,108,17,81,87,44.7,14.6
2020-09-01 19:00:00,0.0,0,0,0,69,95,50.0,14.0
2020-09-01 20:00:00,0.0,0,0,0,56,103,43.2,13.8
2020-09-01 21:00:00,0.0,0,0,0,42,110,69.8,13.6
2020-09-01 22:00:00,0.0,0,0,0,27,115,89.9,13.1
2020-09-01 23:00:00,0.0,0,0,0,11,118,61.1,12.2
2020-09-02 00:00:00,0.0,0,0,0,-6,118,34.3,11.6
2020-09-02 01:00:00,0.0,0,0,0,-23,116,74.2,11.3
2020-09-02 02:00:00,0.0,0,0,0,-38,112,65.6,10.9
2020-09-02 03:00:00,0.0,0,0,0,-52,105,61.0,10.5
2020-09-02 04:00:00,0.0,0,0,0,-65,98,57.8,10.4
2020-09-02 05:00:00,0.0,6,0,6,-77,89,59.4,10.7
2020-09-02 06:00:00,0.0,46,0,46,-89,80,63.9,11.6
2020-09-02 07:00:00,0.0,237,358,113,-102,71,13.8,13.1
2020-09-02 08:00:00,0.1,315,282,186,-115,63,23.7,14.5
2020-09-02 09:00:00,0.7,349,69,312,-130,55,34.3,15.6
2020-09-02 10:00:00,1.0,321,25,305,-147,49,48.0,16.4
2020-09-02 11:00:00,1.2,205,0,205,-167,46,69.1,15.4
2020-09-02 12:00:00,1.0,132,0,132,172,45,80.2,13.4
2020-09-02 13:00:00,0.5,172,0,172,152,48,72.3,12.5
2020-09-02 14:00:00,0.2,184,0,184,134,53,66.5,12.2
2020-09-02 15:00:00,0.2,122,0,122,119,61,71.4,12.0
2020-09-02 16:00:00,0.2,123,0,123,105,69,57.3,12.7
2020-09-02 17:00:00,0.1,60,0,60,93,78,59.8,13.3
2020-09-02 18:00:00,0.0,15,0,15,81,87,47.2,13.7
2020-09-02 19:00:00,0.0,0,0,0,69,96,72.5,14.0
2020-09-02 20:00:00,0.0,0,0,0,56,104,77.7,14.2
2020-09-02 21:00:00,0.0,0,0,0,42,110,69.4,14.3
2020-09-02 22:00:00,0.0,0,0,0,27,116,76.5,14.5
2020-09-02 23:00:00,0.0,0,0,0,11,118,62.0,15.3
2020-09-03 00:00:00,0.0,0,0,0,-6,119,72.7,16.1
2020-09-03 01:00:00,0.0,0,0,0,-23,117,86.9,16.7
2020-09-03 02:00:00,0.0,0,0,0,-38,112,91.6,17.2
2020-09-03 03:00:00,0.0,0,0,0,-53,106,84.4,17.4
2020-09-03 04:00:00,0.0,0,0,0,-66,98,82.2,17.4
2020-09-03 05:00:00,0.0,1,0,1,-78,89,83.6,17.1
2020-09-03 06:00:00,0.0,39,0,39,-90,81,67.6,16.5
2020-09-03 07:00:00,0.0,89,0,89,-102,72,66.9,16.3
2020-09-03 08:00:00,0.0,152,0,152,-115,63,62.2,16.3
2020-09-03 09:00:00,0.1,331,59,296,-130,56,39.3,16.6
2020-09-03 10:00:00,0.1,432,134,346,-147,50,31.7,17.1
2020-09-03 11:00:00,0.3,342,50,307,-167,46,50.0,17.3
2020-09-03 12:00:00,0.4,384,21,369,172,46,43.9,17.3
2020-09-03 13:00:00,0.4,576,534,222,152,48,11.3,17.6
2020-09-03 14:00:00,0.9,347,121,280,135,54,38.4,17.7
2020-09-03 15:00:00,1.2,400,503,161,119,61,11.2,17.0
2020-09-03 16:00:00,0.8,302,631,81,105,69,2.2,16.0
2020-09-03 17:00:00,0.5,156,509,49,93,78,0.3,15.1
2020-09-03 18:00:00,0.2,26,63,19,81,87,7.7,14.1
2020-09-03 19:00:00,0.0,0,0,0,69,96,0.3,13.0
2020-09-03 20:00:00,0.0,0,0,0,56,104,27.3,12.3
2020-09-03 21:00:00,0.0,0,0,0,42,111,48.9,12.2
2020-09-03 22:00:00,0.0,0,0,0,27,116,43.4,11.9
2020-09-03 23:00:00,0.0,0,0,0,11,119,40.7,11.5
2020-09-04 00:00:00,0.0,0,0,0,-6,119,39.0,11.1
2020-09-04 01:00:00,0.0,0,0,0,-23,117,40.3,10.7
2020-09-04 02:00:00,0.0,0,0,0,-39,112,43.0,10.3
2020-09-04 03:00:00,0.0,0,0,0,-53,106,39.9,9.8
2020-09-04 04:00:00,0.0,0,0,0,-66,98,41.6,9.3
2020-09-04 05:00:00,0.0,5,0,5,-78,90,44.3,9.2
2020-09-04 06:00:00,0.0,59,0,59,-90,81,47.0,10.1
2020-09-04 07:00:00,0.0,149,27,141,-102,72,43.6,11.5
2020-09-04 08:00:00,0.1,255,76,219,-116,63,38.5,12.6
2020-09-04 09:00:00,0.2,354,83,308,-130,56,34.0,13.6
2020-09-04 10:00:00,0.7,329,19,317,-148,50,47.7,14.4
2020-09-04 11:00:00,1.1,355,0,355,-167,46,47.7,14.5
2020-09-04 12:00:00,1.0,287,0,287,172,46,57.8,14.4
2020-09-04 13:00:00,0.7,365,0,365,152,49,43.0,14.6
2020-09-04 14:00:00,0.6,350,4,347,135,54,37.6,14.7
2020-09-04 15:00:00,0.5,227,0,227,119,61,48.2,14.4
2020-09-04 16:00:00,0.7,146,0,146,106,70,50.1,14.0
2020-09-04 17:00:00,0.4,108,60,96,93,79,24.5,13.3
2020-09-04 18:00:00,0.3,15,0,15,81,88,38.1,11.9
2020-09-04 19:00:00,0.1,0,0,0,69,96,51.3,10.5
2020-09-04 20:00:00,0.0,0,0,0,56,104,43.9,9.7
2020-09-04 21:00:00,0.0,0,0,0,42,111,36.1,9.3
2020-09-04 22:00:00,0.0,0,0,0,27,116,22.8,9.1
2020-09-04 23:00:00,0.0,0,0,0,11,119,37.3,9.1
2020-09-05 00:00:00,0.0,0,0,0,-6,120,1.0,9.1
2020-09-05 01:00:00,0.0,0,0,0,-23,117,0.0,9.3
2020-09-05 02:00:00,0.0,0,0,0,-39,113,0.0,9.2
2020-09-05 03:00:00,0.0,0,0,0,-53,106,0.2,8.8
2020-09-05 04:00:00,0.0,0,0,0,-66,98,0.9,8.6
2020-09-05 05:00:00,0.0,10,41,7,-78,90,6.2,8.7
2020-09-05 06:00:00,0.0,98,204,62,-90,81,12.3,9.4
2020-09-05 07:00:00,0.0,176,189,126,-103,72,29.2,10.8
2020-09-05 08:00:00,0.0,146,0,146,-116,64,63.8,12.2
2020-09-05 09:00:00,0.3,210,28,193,-131,56,62.1,13.3
2020-09-05 10:00:00,0.3,402,218,260,-148,50,36.2,14.0
2020-09-05 11:00:00,0.3,323,15,313,-167,47,52.1,14.5
2020-09-05 12:00:00,0.8,460,142,362,172,46,32.1,14.7
2020-09-05 13:00:00,1.1,456,239,298,152,49,28.8,15.0
2020-09-05 14:00:00,0.9,296,24,283,135,55,46.0,14.7
2020-09-05 15:00:00,1.1,250,163,168,119,62,44.5,14.2
2020-09-05 16:00:00,0.7,207,112,169,106,70,28.6,14.0
2020-09-05 17:00:00,0.4,112,169,86,93,79,18.0,13.0
2020-09-05 18:00:00,0.0,20,50,15,81,88,32.0,11.3
2020-09-05 19:00:00,0.1,0,0,0,69,97,43.9,10.0
2020-09-05 20:00:00,0.0,0,0,0,56,105,52.0,9.4
2020-09-05 21:00:00,0.0,0,0,0,43,112,57.5,9.3
2020-09-05 22:00:00,0.0,0,0,0,27,117,47.2,9.3
2020-09-05 23:00:00,0.0,0,0,0,11,120,41.8,9.1
2020-09-06 00:00:00,0.0,0,0,0,-7,120,17.3,9.0
2020-09-06 01:00:00,0.0,0,0,0,-23,118,43.2,9.3
2020-09-06 02:00:00,0.0,0,0,0,-39,113,28.9,10.0
2020-09-06 03:00:00,0.0,0,0,0,-53,106,59.0,10.5
2020-09-06 04:00:00,0.0,0,0,0,-66,99,74.3,10.1
2020-09-06 05:00:00,0.0,5,0,5,-79,90,60.6,9.4
2020-09-06 06:00:00,0.0,62,0,62,-91,81,39.2,9.9
2020-09-06 07:00:00,0.0,139,12,135,-103,72,45.1,11.4
2020-09-06 08:00:00,0.0,179,18,173,-116,64,53.3,12.9
2020-09-06 09:00:00,0.2,328,90,276,-131,56,38.3,14.1
2020-09-06 10:00:00,0.5,374,35,352,-148,51,39.2,15.2
2020-09-06 11:00:00,0.6,423,194,289,-167,47,36.6,15.9
2020-09-06 12:00:00,1.3,426,121,343,172,47,36.2,16.2
2020-09-06 13:00:00,0.9,244,0,244,152,50,61.1,16.3
2020-09-06 14:00:00,1.1,352,136,275,135,55,34.9,15.8
2020-09-06 15:00:00,0.9,314,122,257,119,62,26.7,15.5
2020-09-06 16:00:00,0.4,230,225,159,106,70,19.2,15.4
2020-09-06 17:00:00,0.4,138,457,48,93,79,1.9,14.2
2020-09-06 18:00:00,0.3,20,68,14,82,88,2.7,12.5
2020-09-06 19:00:00,0.1,0,0,0,69,97,3.6,11.3
2020-09-06 20:00:00,0.0,0,0,0,57,105,54.6,10.7
2020-09-06 21:00:00,0.0,0,0,0,43,112,19.5,10.4
2020-09-06 22:00:00,0.0,0,0,0,27,117,45.0,10.1
2020-09-06 23:00:00,0.0,0,0,0,11,120,85.0,9.9
2020-09-07 00:00:00,0.0,0,0,0,-7,120,76.6,9.9
2020-09-07 01:00:00,0.0,0,0,0,-24,118,65.3,9.8
2020-09-07 02:00:00,0.0,0,0,0,-39,113,67.8,9.4
2020-09-07 03:00:00,0.0,0,0,0,-54,107,73.2,9.2
2020-09-07 04:00:00,0.0,0,0,0,-67,99,74.4,9.1
2020-09-07 05:00:00,0.0,1,0,1,-79,90,95.3,9.7
2020-09-07 06:00:00,0.0,23,0,23,-91,81,72.7,10.8
2020-09-07 07:00:00,0.0,56,0,56,-103,73,76.8,11.3
2020-09-07 08:00:00,0.0,106,0,106,-116,64,72.8,11.4
2020-09-07 09:00:00,0.0,242,0,242,-131,57,51.7,12.3
2020-09-07 10:00:00,0.1,237,0,237,-148,51,60.0,13.0
2020-09-07 11:00:00,0.5,238,0,238,-168,48,62.4,13.5
2020-09-07 12:00:00,0.6,198,0,198,172,47,69.0,14.1
2020-09-07 13:00:00,0.6,205,0,205,152,50,65.6,14.3
2020-09-07 14:00:00,0.4,207,0,207,135,55,59.7,14.5
2020-09-07 15:00:00,0.2,206,0,206,120,62,48.6,14.8
2020-09-07 16:00:00,0.2,130,0,130,106,71,50.7,15.0
