Keele University - Solcast weather forecast - Mean Global Horizontal Irradiance Date;Keele University - Solcast weather forecast - Mean Global Horizontal Irradiance Time;Keele University - Solcast weather forecast - Mean Global Horizontal Irradiance (kW/m^2) Mean Global Horizontal Irradiance (Solcast weather forecast) Average;(1) Keele University - Solcast weather forecast - Mean Direct Normal Irradiance Date;(1) Keele University - Solcast weather forecast - Mean Direct Normal Irradiance Time;(1) Keele University - Solcast weather forecast - Mean Direct Normal Irradiance(1) Keele University - Solcast weather forecast - Mean Direct Normal Irradiance (kW/m^2) Mean Direct Normal Irradiance (Solcast weather forecast) Average;(2) Keele University - Solcast weather forecast - Diffuse Horizontal Irradiance Date;(2) Keele University - Solcast weather forecast - Diffuse Horizontal Irradiance Time;(2) Keele University - Solcast weather forecast - Diffuse Horizontal Irradiance(2) Keele University - Solcast weather forecast - Diffuse Horizontal Irradiance (kW/m^2) Diffuse Horizontal Irradiance (Solcast weather forecast) Average;(3) Keele University - Solcast weather forecast - Azimuth Date;(3) Keele University - Solcast weather forecast - Azimuth Time;(3) Keele University - Solcast weather forecast - Azimuth(3) Keele University - Solcast weather forecast - Azimuth (°) Azimuth (Solcast weather forecast) Average;(4) Keele University - Solcast weather forecast - Zenith Date;(4) Keele University - Solcast weather forecast - Zenith Time;(4) Keele University - Solcast weather forecast - Zenith(4) Keele University - Solcast weather forecast - Zenith (°) Zenith (Solcast weather forecast) Average;(5) Keele University - Solcast weather forecast - Cloud opacity Date;(5) Keele University - Solcast weather forecast - Cloud opacity Time;(5) Keele University - Solcast weather forecast - Cloud opacity(5) Keele University - Solcast weather forecast - Cloud opacity (%) Cloud opacity (Solcast weather forecast) Average;(6) Keele University - PV B077 Home Farm 006148 - Energy Generated Date;(6) Keele University - PV B077 Home Farm 006148 - Energy Generated Time;(6) Keele University - PV B077 Home Farm 006148 - Energy Generated(6) Keele University - PV B077 Home Farm 006148 - Energy Generated (kWh) Energy Generated (PV B077 Home Farm 006148);(7) Keele University - Solcast weather forecast - Temperature Date;(7) Keele University - Solcast weather forecast - Temperature Time;(7) Keele University - Solcast weather forecast - Temperature(7) Keele University - Solcast weather forecast - Temperature (°C) Temperature Value (Solcast weather forecast) Average
09/01/2020;12:00:00 am;0.000;09/01/2020;12:00:00 am;0.000;09/01/2020;12:00:00 am;0.000;09/01/2020;12:00:00 am;7.458;09/01/2020;12:00:00 am;117.708;09/01/2020;12:00:00 am;18.208;09/01/2020;12:00:00 am;0.000;09/01/2020;12:00:00 am;8.625
09/01/2020;1:00:00 am;0.000;09/01/2020;1:00:00 am;0.000;09/01/2020;1:00:00 am;0.000;09/01/2020;1:00:00 am;-9.333;09/01/2020;1:00:00 am;117.792;09/01/2020;1:00:00 am;17.250;09/01/2020;1:00:00 am;0.000;09/01/2020;1:00:00 am;11.000
09/01/2020;2:00:00 am;0.000;09/01/2020;2:00:00 am;0.000;09/01/2020;2:00:00 am;0.000;09/01/2020;2:00:00 am;-25.333;09/01/2020;2:00:00 am;115.167;09/01/2020;2:00:00 am;11.250;09/01/2020;2:00:00 am;0.000;09/01/2020;2:00:00 am;11.000
09/01/2020;3:00:00 am;0.000;09/01/2020;3:00:00 am;0.000;09/01/2020;3:00:00 am;0.000;09/01/2020;3:00:00 am;-41.125;09/01/2020;3:00:00 am;110.250;09/01/2020;3:00:00 am;5.250;09/01/2020;3:00:00 am;0.000;09/01/2020;3:00:00 am;11.000
09/01/2020;4:00:00 am;0.000;09/01/2020;4:00:00 am;0.000;09/01/2020;4:00:00 am;0.000;09/01/2020;4:00:00 am;-54.708;09/01/2020;4:00:00 am;103.542;09/01/2020;4:00:00 am;1.792;09/01/2020;4:00:00 am;0.000;09/01/2020;4:00:00 am;9.875
09/01/2020;5:00:00 am;0.000;09/01/2020;5:00:00 am;0.000;09/01/2020;5:00:00 am;0.000;09/01/2020;5:00:00 am;-67.500;09/01/2020;5:00:00 am;95.625;09/01/2020;5:00:00 am;0.292;09/01/2020;5:00:00 am;0.000;09/01/2020;5:00:00 am;8.000
09/01/2020;6:00:00 am;0.033;09/01/2020;6:00:00 am;0.076;09/01/2020;6:00:00 am;0.021;09/01/2020;6:00:00 am;-79.500;09/01/2020;6:00:00 am;87.125;09/01/2020;6:00:00 am;0.000;09/01/2020;6:00:00 am;0.000;09/01/2020;6:00:00 am;8.000
09/01/2020;7:00:00 am;0.158;09/01/2020;7:00:00 am;0.406;09/01/2020;7:00:00 am;0.067;09/01/2020;7:00:00 am;-91.500;09/01/2020;7:00:00 am;78.125;09/01/2020;7:00:00 am;0.000;09/01/2020;7:00:00 am;0.000;09/01/2020;7:00:00 am;9.625
09/01/2020;8:00:00 am;0.307;09/01/2020;8:00:00 am;0.595;09/01/2020;8:00:00 am;0.095;09/01/2020;8:00:00 am;-103.708;09/01/2020;8:00:00 am;69.333;09/01/2020;8:00:00 am;0.917;09/01/2020;8:00:00 am;0.000;09/01/2020;8:00:00 am;11.208
09/01/2020;9:00:00 am;0.447;09/01/2020;9:00:00 am;0.699;09/01/2020;9:00:00 am;0.111;09/01/2020;9:00:00 am;-117.417;09/01/2020;9:00:00 am;61.333;09/01/2020;9:00:00 am;2.000;09/01/2020;9:00:00 am;0.800;09/01/2020;9:00:00 am;12.417
