timestamp,GHI,DNI,DHI,SA,SZ,CO,Temp
2020-06-01 00:00:00+00:00,0,0,0,-6,105,0.0,9.5
2020-06-01 01:00:00+00:00,0,0,0,-20,103,0.0,8.9
2020-06-01 02:00:00+00:00,0,0,0,-33,99,0.0,8.2
2020-06-01 03:00:00+00:00,0,1,0,-46,93,0.0,7.6
2020-06-01 04:00:00+00:00,44,201,22,-58,86,0.0,7.9
2020-06-01 05:00:00+00:00,166,518,53,-70,78,0.0,10.1
2020-06-01 06:00:00+00:00,317,668,77,-81,69,0.0,12.7
2020-06-01 07:00:00+00:00,471,754,95,-93,60,0.0,14.5
2020-06-01 08:00:00+00:00,614,804,111,-106,51,0.0,15.9
2020-06-01 09:00:00+00:00,734,834,123,-121,43,0.0,17.1
2020-06-01 10:00:00+00:00,820,851,133,-140,36,0.0,18.0
2020-06-01 11:00:00+00:00,866,857,138,-164,32,0.0,19.1
2020-06-01 12:00:00+00:00,862,832,153,169,32,0.5,19.8
2020-06-01 13:00:00+00:00,819,811,155,145,35,0.7,20.3
2020-06-01 14:00:00+00:00,680,576,249,125,41,8.4,20.5
2020-06-01 15:00:00+00:00,505,272,326,109,49,19.5,20.3
2020-06-01 16:00:00+00:00,424,383,218,95,58,13.2,19.9
2020-06-01 17:00:00+00:00,298,407,148,83,67,8.8,19.5
2020-06-01 18:00:00+00:00,177,396,76,72,76,2.8,18.5
2020-06-01 19:00:00+00:00,55,153,37,60,84,5.8,16.4
2020-06-01 20:00:00+00:00,1,0,1,49,92,31.6,14.2
2020-06-01 21:00:00+00:00,0,0,0,36,98,0.0,12.5
2020-06-01 22:00:00+00:00,0,0,0,23,102,1.2,11.3
2020-06-01 23:00:00+00:00,0,0,0,9,104,10.6,10.3
2020-06-02 00:00:00+00:00,0,0,0,-6,105,23.1,9.4
2020-06-02 01:00:00+00:00,0,0,0,-20,103,33.6,8.9
2020-06-02 02:00:00+00:00,0,0,0,-33,99,63.0,8.6
2020-06-02 03:00:00+00:00,0,0,0,-46,93,55.0,8.3
2020-06-02 04:00:00+00:00,28,4,27,-58,86,32.8,8.7
2020-06-02 05:00:00+00:00,147,364,63,-69,78,10.0,10.5
2020-06-02 06:00:00+00:00,303,590,90,-81,69,0.7,12.3
2020-06-02 07:00:00+00:00,376,315,220,-93,60,18.1,13.8
2020-06-02 08:00:00+00:00,488,276,314,-106,51,19.5,15.1
2020-06-02 09:00:00+00:00,710,749,159,-121,43,2.8,16.4
2020-06-02 10:00:00+00:00,818,863,120,-140,36,0.0,17.8
2020-06-02 11:00:00+00:00,866,879,119,-164,32,0.0,19.1
2020-06-02 12:00:00+00:00,870,880,118,169,31,0.0,20.1
2020-06-02 13:00:00+00:00,829,863,120,145,35,0.0,20.8
2020-06-02 14:00:00+00:00,746,829,122,125,41,0.0,21.3
2020-06-02 15:00:00+00:00,624,761,127,109,49,0.5,21.4
2020-06-02 16:00:00+00:00,457,555,162,95,58,5.8,20.7
2020-06-02 17:00:00+00:00,297,364,150,83,67,10.1,19.5
2020-06-02 18:00:00+00:00,129,165,81,72,76,33.7,18.0
2020-06-02 19:00:00+00:00,32,0,32,60,84,40.2,16.1
2020-06-02 20:00:00+00:00,1,0,1,49,91,89.7,14.6
2020-06-02 21:00:00+00:00,0,0,0,36,97,65.3,14.1
2020-06-02 22:00:00+00:00,0,0,0,23,102,58.6,13.9
2020-06-02 23:00:00+00:00,0,0,0,9,104,81.1,13.4
2020-06-03 00:00:00+00:00,0,0,0,-6,104,92.8,12.8
2020-06-03 01:00:00+00:00,0,0,0,-20,103,67.3,12.6
2020-06-03 02:00:00+00:00,0,0,0,-33,98,73.1,12.8
2020-06-03 03:00:00+00:00,0,0,0,-46,93,79.1,12.8
2020-06-03 04:00:00+00:00,3,0,3,-58,86,88.8,12.7
2020-06-03 05:00:00+00:00,20,0,20,-69,78,83.1,12.7
2020-06-03 06:00:00+00:00,23,0,23,-81,69,90.9,12.8
2020-06-03 07:00:00+00:00,87,0,87,-92,60,79.0,12.3
2020-06-03 08:00:00+00:00,111,0,111,-105,51,80.2,11.5
2020-06-03 09:00:00+00:00,138,0,138,-121,43,79.4,11.4
2020-06-03 10:00:00+00:00,133,0,133,-140,36,82.3,11.9
2020-06-03 11:00:00+00:00,168,0,168,-164,32,79.1,12.0
2020-06-03 12:00:00+00:00,192,0,192,170,31,76.2,11.8
2020-06-03 13:00:00+00:00,122,0,122,145,35,84.1,11.7
2020-06-03 14:00:00+00:00,164,0,164,125,41,76.7,11.9
2020-06-03 15:00:00+00:00,160,0,160,108,49,73.2,11.9
2020-06-03 16:00:00+00:00,122,0,122,95,58,74.2,11.8
2020-06-03 17:00:00+00:00,89,0,89,83,67,73.2,11.7
2020-06-03 18:00:00+00:00,40,0,40,72,76,79.0,11.5
2020-06-03 19:00:00+00:00,15,0,15,60,84,68.5,10.6
2020-06-03 20:00:00+00:00,1,0,1,49,91,45.1,9.6
2020-06-03 21:00:00+00:00,0,0,0,36,97,19.2,9.0
2020-06-03 22:00:00+00:00,0,0,0,23,102,45.1,8.5
2020-06-03 23:00:00+00:00,0,0,0,9,104,35.5,8.5
2020-06-04 00:00:00+00:00,0,0,0,-6,104,17.4,8.3
2020-06-04 01:00:00+00:00,0,0,0,-20,102,47.1,7.4
2020-06-04 02:00:00+00:00,0,0,0,-33,98,77.3,6.7
2020-06-04 03:00:00+00:00,0,0,0,-46,93,89.1,6.5
2020-06-04 04:00:00+00:00,6,0,6,-58,86,83.1,6.7
2020-06-04 05:00:00+00:00,38,0,38,-69,78,79.5,8.1
2020-06-04 06:00:00+00:00,89,0,89,-81,69,71.5,9.6
2020-06-04 07:00:00+00:00,132,0,132,-92,60,71.6,10.6
2020-06-04 08:00:00+00:00,138,0,138,-105,51,77.5,11.5
2020-06-04 09:00:00+00:00,229,0,229,-121,43,68.7,11.4
2020-06-04 10:00:00+00:00,388,0,388,-140,36,52.6,11.5
2020-06-04 11:00:00+00:00,444,0,444,-164,32,48.9,12.6
2020-06-04 12:00:00+00:00,197,0,197,170,31,77.4,13.4
2020-06-04 13:00:00+00:00,262,0,262,145,35,68.5,13.8
2020-06-04 14:00:00+00:00,357,0,357,124,41,53.0,13.7
2020-06-04 15:00:00+00:00,262,0,262,108,49,59.4,13.4
2020-06-04 16:00:00+00:00,181,0,181,95,58,63.9,12.9
2020-06-04 17:00:00+00:00,159,0,159,83,67,54.3,11.8
2020-06-04 18:00:00+00:00,52,0,52,72,76,74.1,10.8
2020-06-04 19:00:00+00:00,20,0,20,60,84,66.3,9.9
2020-06-04 20:00:00+00:00,1,0,1,49,91,65.4,8.7
