PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,Dhi,Dni,Ghi,Zenith
2020-06-01T01:00:00Z,2020-06-01T00:00:00Z,PT60M,9.5,-6,0.0,0,0,0,105
2020-06-01T02:00:00Z,2020-06-01T01:00:00Z,PT60M,8.9,-20,0.0,0,0,0,103
2020-06-01T03:00:00Z,2020-06-01T02:00:00Z,PT60M,8.2,-33,0.0,0,0,0,99
2020-06-01T04:00:00Z,2020-06-01T03:00:00Z,PT60M,7.6,-46,0.0,0,1,0,93
2020-06-01T05:00:00Z,2020-06-01T04:00:00Z,PT60M,7.9,-58,0.0,22,201,44,86
2020-06-01T06:00:00Z,2020-06-01T05:00:00Z,PT60M,10.1,-70,0.0,53,518,166,78
2020-06-01T07:00:00Z,2020-06-01T06:00:00Z,PT60M,12.7,-81,0.0,77,668,317,69
2020-06-01T08:00:00Z,2020-06-01T07:00:00Z,PT60M,14.5,-93,0.0,95,754,471,60
2020-06-01T09:00:00Z,2020-06-01T08:00:00Z,PT60M,15.9,-106,0.0,111,804,614,51
2020-06-01T10:00:00Z,2020-06-01T09:00:00Z,PT60M,17.1,-121,0.0,123,834,734,43
2020-06-01T11:00:00Z,2020-06-01T10:00:00Z,PT60M,18.0,-140,0.0,133,851,820,36
2020-06-01T12:00:00Z,2020-06-01T11:00:00Z,PT60M,19.1,-164,0.0,138,857,866,32
2020-06-01T13:00:00Z,2020-06-01T12:00:00Z,PT60M,19.8,169,0.5,153,832,862,32
2020-06-01T14:00:00Z,2020-06-01T13:00:00Z,PT60M,20.3,145,0.7,155,811,819,35
2020-06-01T15:00:00Z,2020-06-01T14:00:00Z,PT60M,20.5,125,8.4,249,576,680,41
2020-06-01T16:00:00Z,2020-06-01T15:00:00Z,PT60M,20.3,109,19.5,326,272,505,49
2020-06-01T17:00:00Z,2020-06-01T16:00:00Z,PT60M,19.9,95,13.2,218,383,424,58
2020-06-01T18:00:00Z,2020-06-01T17:00:00Z,PT60M,19.5,83,8.8,148,407,298,67
2020-06-01T19:00:00Z,2020-06-01T18:00:00Z,PT60M,18.5,72,2.8,76,396,177,76
2020-06-01T20:00:00Z,2020-06-01T19:00:00Z,PT60M,16.4,60,5.8,37,153,55,84
2020-06-01T21:00:00Z,2020-06-01T20:00:00Z,PT60M,14.2,49,31.6,1,0,1,92
2020-06-01T22:00:00Z,2020-06-01T21:00:00Z,PT60M,12.5,36,0.0,0,0,0,98
2020-06-01T23:00:00Z,2020-06-01T22:00:00Z,PT60M,11.3,23,1.2,0,0,0,102
2020-06-02T00:00:00Z,2020-06-01T23:00:00Z,PT60M,10.3,9,10.6,0,0,0,104
2020-06-02T01:00:00Z,2020-06-02T00:00:00Z,PT60M,9.4,-6,23.1,0,0,0,105
2020-06-02T02:00:00Z,2020-06-02T01:00:00Z,PT60M,8.9,-20,33.6,0,0,0,103
2020-06-02T03:00:00Z,2020-06-02T02:00:00Z,PT60M,8.6,-33,63.0,0,0,0,99
2020-06-02T04:00:00Z,2020-06-02T03:00:00Z,PT60M,8.3,-46,55.0,0,0,0,93
2020-06-02T05:00:00Z,2020-06-02T04:00:00Z,PT60M,8.7,-58,32.8,27,4,28,86
2020-06-02T06:00:00Z,2020-06-02T05:00:00Z,PT60M,10.5,-69,10.0,63,364,147,78
2020-06-02T07:00:00Z,2020-06-02T06:00:00Z,PT60M,12.3,-81,0.7,90,590,303,69
2020-06-02T08:00:00Z,2020-06-02T07:00:00Z,PT60M,13.8,-93,18.1,220,315,376,60
2020-06-02T09:00:00Z,2020-06-02T08:00:00Z,PT60M,15.1,-106,19.5,314,276,488,51
2020-06-02T10:00:00Z,2020-06-02T09:00:00Z,PT60M,16.4,-121,2.8,159,749,710,43
2020-06-02T11:00:00Z,2020-06-02T10:00:00Z,PT60M,17.8,-140,0.0,120,863,818,36
2020-06-02T12:00:00Z,2020-06-02T11:00:00Z,PT60M,19.1,-164,0.0,119,879,866,32
2020-06-02T13:00:00Z,2020-06-02T12:00:00Z,PT60M,20.1,169,0.0,118,880,870,31
2020-06-02T14:00:00Z,2020-06-02T13:00:00Z,PT60M,20.8,145,0.0,120,863,829,35
2020-06-02T15:00:00Z,2020-06-02T14:00:00Z,PT60M,21.3,125,0.0,122,829,746,41
2020-06-02T16:00:00Z,2020-06-02T15:00:00Z,PT60M,21.4,109,0.5,127,761,624,49
2020-06-02T17:00:00Z,2020-06-02T16:00:00Z,PT60M,20.7,95,5.8,162,555,457,58
2020-06-02T18:00:00Z,2020-06-02T17:00:00Z,PT60M,19.5,83,10.1,150,364,297,67
2020-06-02T19:00:00Z,2020-06-02T18:00:00Z,PT60M,18.0,72,33.7,81,165,129,76
2020-06-02T20:00:00Z,2020-06-02T19:00:00Z,PT60M,16.1,60,40.2,32,0,32,84
2020-06-02T21:00:00Z,2020-06-02T20:00:00Z,PT60M,14.6,49,89.7,1,0,1,91
2020-06-02T22:00:00Z,2020-06-02T21:00:00Z,PT60M,14.1,36,65.3,0,0,0,97
2020-06-02T23:00:00Z,2020-06-02T22:00:00Z,PT60M,13.9,23,58.6,0,0,0,102
2020-06-03T00:00:00Z,2020-06-02T23:00:00Z,PT60M,13.4,9,81.1,0,0,0,104
2020-06-03T01:00:00Z,2020-06-03T00:00:00Z,PT60M,12.8,-6,92.8,0,0,0,104
2020-06-03T02:00:00Z,2020-06-03T01:00:00Z,PT60M,12.6,-20,67.3,0,0,0,103
2020-06-03T03:00:00Z,2020-06-03T02:00:00Z,PT60M,12.8,-33,73.1,0,0,0,98
2020-06-03T04:00:00Z,2020-06-03T03:00:00Z,PT60M,12.8,-46,79.1,0,0,0,93
2020-06-03T05:00:00Z,2020-06-03T04:00:00Z,PT60M,12.7,-58,88.8,3,0,3,86
2020-06-03T06:00:00Z,2020-06-03T05:00:00Z,PT60M,12.7,-69,83.1,20,0,20,78
2020-06-03T07:00:00Z,2020-06-03T06:00:00Z,PT60M,12.8,-81,90.9,23,0,23,69
2020-06-03T08:00:00Z,2020-06-03T07:00:00Z,PT60M,12.3,-92,79.0,87,0,87,60
2020-06-03T09:00:00Z,2020-06-03T08:00:00Z,PT60M,11.5,-105,80.2,111,0,111,51
2020-06-03T10:00:00Z,2020-06-03T09:00:00Z,PT60M,11.4,-121,79.4,138,0,138,43
2020-06-03T11:00:00Z,2020-06-03T10:00:00Z,PT60M,11.9,-140,82.3,133,0,133,36
2020-06-03T12:00:00Z,2020-06-03T11:00:00Z,PT60M,12.0,-164,79.1,168,0,168,32
2020-06-03T13:00:00Z,2020-06-03T12:00:00Z,PT60M,11.8,170,76.2,192,0,192,31
2020-06-03T14:00:00Z,2020-06-03T13:00:00Z,PT60M,11.7,145,84.1,122,0,122,35
2020-06-03T15:00:00Z,2020-06-03T14:00:00Z,PT60M,11.9,125,76.7,164,0,164,41
2020-06-03T16:00:00Z,2020-06-03T15:00:00Z,PT60M,11.9,108,73.2,160,0,160,49
2020-06-03T17:00:00Z,2020-06-03T16:00:00Z,PT60M,11.8,95,74.2,122,0,122,58
2020-06-03T18:00:00Z,2020-06-03T17:00:00Z,PT60M,11.7,83,73.2,89,0,89,67
2020-06-03T19:00:00Z,2020-06-03T18:00:00Z,PT60M,11.5,72,79.0,40,0,40,76
2020-06-03T20:00:00Z,2020-06-03T19:00:00Z,PT60M,10.6,60,68.5,15,0,15,84
2020-06-03T21:00:00Z,2020-06-03T20:00:00Z,PT60M,9.6,49,45.1,1,0,1,91
2020-06-03T22:00:00Z,2020-06-03T21:00:00Z,PT60M,9.0,36,19.2,0,0,0,97
2020-06-03T23:00:00Z,2020-06-03T22:00:00Z,PT60M,8.5,23,45.1,0,0,0,102
2020-06-04T00:00:00Z,2020-06-03T23:00:00Z,PT60M,8.5,9,35.5,0,0,0,104
2020-06-04T01:00:00Z,2020-06-04T00:00:00Z,PT60M,8.3,-6,17.4,0,0,0,104
2020-06-04T02:00:00Z,2020-06-04T01:00:00Z,PT60M,7.4,-20,47.1,0,0,0,102
2020-06-04T03:00:00Z,2020-06-04T02:00:00Z,PT60M,6.7,-33,77.3,0,0,0,98
