PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,CloudOpacity,Dhi,Dni,Ghi,Zenith
2021-07-31T02:00:00Z,2021-07-31T01:00:00Z,PT60M,13.3,-18,51.0,0,0,0,106
2021-07-31T03:00:00Z,2021-07-31T02:00:00Z,PT60M,13.3,-33,51.5,0,0,0,103
2021-07-31T04:00:00Z,2021-07-31T03:00:00Z,PT60M,13.2,-46,65.9,0,0,0,97
2021-07-31T05:00:00Z,2021-07-31T04:00:00Z,PT60M,13.0,-58,69.4,2,0,2,90
2021-07-31T06:00:00Z,2021-07-31T05:00:00Z,PT60M,13.1,-70,69.1,27,0,27,82
2021-07-31T07:00:00Z,2021-07-31T06:00:00Z,PT60M,13.6,-81,57.6,98,0,98,73
2021-07-31T08:00:00Z,2021-07-31T07:00:00Z,PT60M,14.6,-93,50.3,189,0,189,64
2021-07-31T09:00:00Z,2021-07-31T08:00:00Z,PT60M,15.5,-106,51.5,251,0,251,55
2021-07-31T10:00:00Z,2021-07-31T09:00:00Z,PT60M,16.1,-121,70.8,189,0,189,47
2021-07-31T11:00:00Z,2021-07-31T10:00:00Z,PT60M,16.9,-139,57.7,314,0,314,40
2021-07-31T12:00:00Z,2021-07-31T11:00:00Z,PT60M,17.5,-162,60.7,311,0,311,36
2021-07-31T13:00:00Z,2021-07-31T12:00:00Z,PT60M,17.5,174,63.1,297,0,297,35
2021-07-31T14:00:00Z,2021-07-31T13:00:00Z,PT60M,17.5,150,67.2,254,0,254,38
2021-07-31T15:00:00Z,2021-07-31T14:00:00Z,PT60M,17.7,130,68.8,218,0,218,43
2021-07-31T16:00:00Z,2021-07-31T15:00:00Z,PT60M,18.0,113,56.0,261,0,261,51
2021-07-31T17:00:00Z,2021-07-31T16:00:00Z,PT60M,17.7,100,58.6,189,0,189,60
2021-07-31T18:00:00Z,2021-07-31T17:00:00Z,PT60M,16.8,87,54.7,143,5,145,69
2021-07-31T19:00:00Z,2021-07-31T18:00:00Z,PT60M,15.6,76,53.3,73,0,73,77
2021-07-31T20:00:00Z,2021-07-31T19:00:00Z,PT60M,14.5,64,46.8,22,0,22,86
2021-07-31T21:00:00Z,2021-07-31T20:00:00Z,PT60M,14.0,52,49.9,0,0,0,94
2021-07-31T22:00:00Z,2021-07-31T21:00:00Z,PT60M,13.8,39,47.7,0,0,0,100
2021-07-31T23:00:00Z,2021-07-31T22:00:00Z,PT60M,13.9,26,47.1,0,0,0,105
2021-08-01T00:00:00Z,2021-07-31T23:00:00Z,PT60M,13.8,11,47.8,0,0,0,108
2021-08-01T01:00:00Z,2021-08-01T00:00:00Z,PT60M,13.7,-4,50.2,0,0,0,108
2021-08-01T02:00:00Z,2021-08-01T01:00:00Z,PT60M,13.3,-19,48.4,0,0,0,107
2021-08-01T03:00:00Z,2021-08-01T02:00:00Z,PT60M,12.7,-33,49.4,0,0,0,103
2021-08-01T04:00:00Z,2021-08-01T03:00:00Z,PT60M,12.1,-46,53.0,0,0,0,97
2021-08-01T05:00:00Z,2021-08-01T04:00:00Z,PT60M,11.8,-58,62.7,3,0,3,90
2021-08-01T06:00:00Z,2021-08-01T05:00:00Z,PT60M,12.0,-70,40.7,59,13,61,82
2021-08-01T07:00:00Z,2021-08-01T06:00:00Z,PT60M,12.6,-82,30.7,129,98,160,73
2021-08-01T08:00:00Z,2021-08-01T07:00:00Z,PT60M,13.3,-93,16.4,190,313,315,64
2021-08-01T09:00:00Z,2021-08-01T08:00:00Z,PT60M,13.8,-106,48.2,268,4,270,55
2021-08-01T10:00:00Z,2021-08-01T09:00:00Z,PT60M,14.4,-121,68.0,211,0,211,47
2021-08-01T11:00:00Z,2021-08-01T10:00:00Z,PT60M,15.1,-140,65.9,257,0,257,40
2021-08-01T12:00:00Z,2021-08-01T11:00:00Z,PT60M,15.5,-162,60.2,320,0,320,36
2021-08-01T13:00:00Z,2021-08-01T12:00:00Z,PT60M,15.4,174,38.6,494,6,499,35
2021-08-01T14:00:00Z,2021-08-01T13:00:00Z,PT60M,15.4,150,29.2,454,124,551,38
2021-08-01T15:00:00Z,2021-08-01T14:00:00Z,PT60M,16.0,130,27.0,418,130,515,44
2021-08-01T16:00:00Z,2021-08-01T15:00:00Z,PT60M,16.9,114,34.5,375,23,389,51
2021-08-01T17:00:00Z,2021-08-01T16:00:00Z,PT60M,17.2,100,24.3,267,162,341,60
2021-08-01T18:00:00Z,2021-08-01T17:00:00Z,PT60M,16.3,88,44.5,135,98,177,69
2021-08-01T19:00:00Z,2021-08-01T18:00:00Z,PT60M,14.8,76,41.8,84,9,85,78
2021-08-01T20:00:00Z,2021-08-01T19:00:00Z,PT60M,13.5,64,37.2,22,0,22,86
2021-08-01T21:00:00Z,2021-08-01T20:00:00Z,PT60M,13.0,52,37.0,0,0,0,94
2021-08-01T22:00:00Z,2021-08-01T21:00:00Z,PT60M,12.9,39,29.0,0,0,0,100
2021-08-01T23:00:00Z,2021-08-01T22:00:00Z,PT60M,12.9,26,27.5,0,0,0,105
