,ghi,ghi90,ghi10,ebh,dni,dni10,dni90,dhi,air_temp,zenith,azimuth,cloud_opacity,period_end,period
0,408,463,353,135,234,147,429,272,16,54,-146,22,2021-09-15T10:30:00.0000000Z,PT30M
1,452,551,345,179,293,98,645,273,16,52,-155,20,2021-09-15T11:00:00.0000000Z,PT30M
2,494,577,383,232,365,117,650,261,17,50,-164,16,2021-09-15T11:30:00.0000000Z,PT30M
3,478,590,387,189,295,120,656,289,18,50,-174,20,2021-09-15T12:00:00.0000000Z,PT30M
4,466,607,332,162,252,52,707,304,18,50,177,23,2021-09-15T12:30:00.0000000Z,PT30M
5,462,602,249,157,244,16,710,305,19,50,167,23,2021-09-15T13:00:00.0000000Z,PT30M
6,437,587,199,137,221,7,724,299,19,52,157,25,2021-09-15T13:30:00.0000000Z,PT30M
7,433,558,188,156,263,8,720,277,19,54,148,22,2021-09-15T14:00:00.0000000Z,PT30M
8,413,514,174,166,297,7,692,247,19,56,140,19,2021-09-15T14:30:00.0000000Z,PT30M
9,376,465,158,151,294,8,668,225,19,59,132,19,2021-09-15T15:00:00.0000000Z,PT30M
10,326,405,135,129,285,7,656,197,19,63,124,19,2021-09-15T15:30:00.0000000Z,PT30M
11,269,339,109,97,249,7,617,171,19,67,117,20,2021-09-15T16:00:00.0000000Z,PT30M
12,209,268,78,65,199,5,547,143,18,71,110,21,2021-09-15T16:30:00.0000000Z,PT30M
13,152,194,54,41,160,4,428,110,18,75,104,21,2021-09-15T17:00:00.0000000Z,PT30M
14,92,122,29,19,112,3,363,72,17,80,98,24,2021-09-15T17:30:00.0000000Z,PT30M
15,39,56,12,5,29,0,106,34,14,84,92,28,2021-09-15T18:00:00.0000000Z,PT30M
16,4,7,1,0,4,0,12,4,14,89,86,30,2021-09-15T18:30:00.0000000Z,PT30M
17,0,0,0,0,0,0,0,0,12,93,80,30,2021-09-15T19:00:00.0000000Z,PT30M
18,0,0,0,0,0,0,0,0,12,98,74,31,2021-09-15T19:30:00.0000000Z,PT30M
19,0,0,0,0,0,0,0,0,12,102,67,33,2021-09-15T20:00:00.0000000Z,PT30M
20,0,0,0,0,0,0,0,0,12,106,61,36,2021-09-15T20:30:00.0000000Z,PT30M
21,0,0,0,0,0,0,0,0,14,110,54,40,2021-09-15T21:00:00.0000000Z,PT30M
22,0,0,0,0,0,0,0,0,14,113,47,41,2021-09-15T21:30:00.0000000Z,PT30M
23,0,0,0,0,0,0,0,0,14,116,40,41,2021-09-15T22:00:00.0000000Z,PT30M
24,0,0,0,0,0,0,0,0,14,119,32,41,2021-09-15T22:30:00.0000000Z,PT30M
25,0,0,0,0,0,0,0,0,14,121,23,40,2021-09-15T23:00:00.0000000Z,PT30M
26,0,0,0,0,0,0,0,0,12,123,15,40,2021-09-15T23:30:00.0000000Z,PT30M
